world,scenario_id,condition,system,channel,run_idx,episode_id,valid,censored,hit_cap_sim_steps,hit_cap_wallclock,termination_reason,duration_s,ticks,wallclock_s,turns,agent_turns,user_turns,turn_taking,conv_progression,selectivity,n_distractors_injected,n_distractors_ignored,prd,efficiency,optimal_blocks,blocks_walked,pass_at_1,over_ratio,under_ratio,budget_side,faithfulness,dnsmos,utmos,nisqa,speech_complexity_preset,agent_model_id,decision_model_arm,ideal_tool_calls,actual_tool_calls,conditional_pop_note,conv_progression_raw13,faithfulness_raw13,conv_progression_pass_gate,faithfulness_pass_gate
nyc_geo,geo_b_blocked_i1,blocked,gpt-realtime-2.1-mini,realistic,2,b9b00cb8-6734-483b-afd7-23816b7a2ee7,1,1,1,0,max_steps,1200.2,6001,3221.5,163,82,81,0.8603,0.0,0.3,10,3,0,,7,11,0,2.2857,,over,1.0,3.379,4.176,3.759,regular,openai:gpt-realtime-2.1-mini,luna,7,16,,1,3,0,1
nyc_geo,geo_b_blocked_i1,blocked,gpt-realtime-2.1-mini,realistic,3,c8f42e49-bfca-42ca-8e66-66b9179f658a,1,1,1,0,max_steps,1200.2,6001,3371.6,256,128,128,0.721,0.0,0.4,15,6,0,,7,11,0,1.5714,,over,0.0,3.389,4.171,3.753,regular,openai:gpt-realtime-2.1-mini,luna,7,11,,1,1,0,0
nyc_geo,geo_b_blocked_i1,blocked,gpt-realtime-2.1-mini,realistic,4,afa6b63b-0b14-48cb-80d7-7c1697cc043f,1,1,1,0,max_steps,1200.2,6001,3543.6,247,124,123,0.6442,0.0,0.4286,7,3,0,,7,8,0,1.1429,,over,0.0,3.393,4.175,3.762,regular,openai:gpt-realtime-2.1-mini,luna,7,8,,1,1,0,0
nyc_geo,geo_b_blocked_i2,blocked,gpt-realtime-2.1-mini,realistic,0,c2fed85c-0f82-44b7-8a7f-22ec0c436314,1,1,1,0,max_steps,1200.2,6001,3218.2,246,123,123,0.0,0.0,0.1818,11,2,0,,5,16,0,1.8571,,over,0.0,3.363,4.191,3.713,regular,openai:gpt-realtime-2.1-mini,luna,7,13,,1,1,0,0
nyc_geo,geo_b_blocked_i2,blocked,gpt-realtime-2.1-mini,realistic,1,0058a59c-231d-4a24-a9f7-2701b880a06d,1,1,1,0,max_steps,1200.2,6001,2246.7,262,131,131,0.0,0.0,0.8095,21,17,0,,5,4,0,,0.8571,under,0.0,3.268,4.069,3.468,regular,openai:gpt-realtime-2.1-mini,luna,7,6,,1,1,0,0
nyc_geo,geo_b_blocked_i2,blocked,gpt-realtime-2.1-mini,realistic,2,1e62ddda-90d9-4a7d-8939-219ed2d33c97,1,1,1,0,max_steps,1200.2,6001,3078.0,163,82,81,0.7569,0.0,0.1818,11,2,0,,7,11,0,1.7143,,over,0.0,3.349,4.166,3.762,regular,openai:gpt-realtime-2.1-mini,luna,7,12,,1,1,0,0
nyc_geo,geo_b_blocked_i2,blocked,gpt-realtime-2.1-mini,realistic,3,61fbb8e6-fd14-47f3-bacc-18ae636ba869,1,1,1,0,max_steps,1200.2,6001,3247.1,148,74,74,0.0,0.0,0.4118,17,7,0,,5,11,0,,,on,0.0,3.363,4.161,3.709,regular,openai:gpt-realtime-2.1-mini,luna,7,7,,1,1,0,0
nyc_geo,geo_b_blocked_i2,blocked,gpt-realtime-2.1-mini,realistic,4,15d8f623-0778-4f09-be15-36d47bb5a6db,1,1,1,0,max_steps,1200.2,6001,3420.6,208,104,104,0.0,0.0,0.3,10,3,0,,7,8,0,1.4286,,over,0.0,3.374,4.165,3.73,regular,openai:gpt-realtime-2.1-mini,luna,7,10,,1,1,0,0
nyc_geo,geo_b_blocked_i3,blocked,gpt-realtime-2.1-mini,realistic,0,4b3d8eca-bb5b-4705-82f4-d9b20ae1ff7f,1,1,1,0,max_steps,1200.2,6001,3278.7,407,204,203,0.6216,0.0,0.6667,18,12,0,,7,12,0,2.0,,over,0.0,3.361,4.152,3.715,regular,openai:gpt-realtime-2.1-mini,luna,7,14,,1,1,0,0
nyc_geo,geo_b_blocked_i3,blocked,gpt-realtime-2.1-mini,realistic,1,158390bb-49d2-451b-81a3-323582928c6e,1,1,1,0,max_steps,1200.2,6001,2932.5,572,286,286,0.0,0.0,0.4667,15,7,0,,5,13,0,1.7143,,over,1.0,3.357,4.158,3.691,regular,openai:gpt-realtime-2.1-mini,luna,7,12,,1,3,0,1
